xmin,ymin,xmax,ymax,label,file,width,height,annotation_file,image_file,cropped_image_file
84,81,111,114,without_mask,maksssksksss411,400,267,maksssksksss411.xml,maksssksksss411.png,maksssksksss411-855-hv.png
84,81,111,114,without_mask,maksssksksss411,400,267,maksssksksss411.xml,maksssksksss411.png,maksssksksss411-855-b.png
66,30,100,66,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-889-h.png
66,30,100,66,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-889-v.png
66,30,100,66,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-889-hv.png
66,30,100,66,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-889-b.png
309,107,350,146,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-892-h.png
309,107,350,146,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-892-v.png
309,107,350,146,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-892-hv.png
309,107,350,146,without_mask,maksssksksss526,400,263,maksssksksss526.xml,maksssksksss526.png,maksssksksss526-892-b.png
206,10,225,30,without_mask,maksssksksss251,400,206,maksssksksss251.xml,maksssksksss251.png,maksssksksss251-908-h.png
206,10,225,30,without_mask,maksssksksss251,400,206,maksssksksss251.xml,maksssksksss251.png,maksssksksss251-908-v.png
206,10,225,30,without_mask,maksssksksss251,400,206,maksssksksss251.xml,maksssksksss251.png,maksssksksss251-908-hv.png
206,10,225,30,without_mask,maksssksksss251,400,206,maksssksksss251.xml,maksssksksss251.png,maksssksksss251-908-b.png
1,248,15,273,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-922-h.png
1,248,15,273,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-922-v.png
1,248,15,273,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-922-hv.png
1,248,15,273,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-922-b.png
12,240,36,269,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-923-h.png
12,240,36,269,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-923-v.png
12,240,36,269,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-923-hv.png
12,240,36,269,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-923-b.png
66,200,108,248,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-924-h.png
66,200,108,248,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-924-v.png
66,200,108,248,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-924-hv.png
66,200,108,248,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-924-b.png
216,272,257,318,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-925-h.png
216,272,257,318,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-925-v.png
216,272,257,318,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-925-hv.png
216,272,257,318,without_mask,maksssksksss641,267,400,maksssksksss641.xml,maksssksksss641.png,maksssksksss641-925-b.png
85,152,190,279,without_mask,maksssksksss48,301,400,maksssksksss48.xml,maksssksksss48.png,maksssksksss48-943-h.png
85,152,190,279,without_mask,maksssksksss48,301,400,maksssksksss48.xml,maksssksksss48.png,maksssksksss48-943-v.png
85,152,190,279,without_mask,maksssksksss48,301,400,maksssksksss48.xml,maksssksksss48.png,maksssksksss48-943-hv.png
85,152,190,279,without_mask,maksssksksss48,301,400,maksssksksss48.xml,maksssksksss48.png,maksssksksss48-943-b.png
107,175,209,292,without_mask,maksssksksss655,301,400,maksssksksss655.xml,maksssksksss655.png,maksssksksss655-944-h.png
107,175,209,292,without_mask,maksssksksss655,301,400,maksssksksss655.xml,maksssksksss655.png,maksssksksss655-944-v.png
107,175,209,292,without_mask,maksssksksss655,301,400,maksssksksss655.xml,maksssksksss655.png,maksssksksss655-944-hv.png
107,175,209,292,without_mask,maksssksksss655,301,400,maksssksksss655.xml,maksssksksss655.png,maksssksksss655-944-b.png
85,270,154,373,without_mask,maksssksksss615,301,400,maksssksksss615.xml,maksssksksss615.png,maksssksksss615-947-h.png
85,270,154,373,without_mask,maksssksksss615,301,400,maksssksksss615.xml,maksssksksss615.png,maksssksksss615-947-v.png
85,270,154,373,without_mask,maksssksksss615,301,400,maksssksksss615.xml,maksssksksss615.png,maksssksksss615-947-hv.png
85,270,154,373,without_mask,maksssksksss615,301,400,maksssksksss615.xml,maksssksksss615.png,maksssksksss615-947-b.png
315,52,332,65,without_mask,maksssksksss222,400,226,maksssksksss222.xml,maksssksksss222.png,maksssksksss222-960-h.png
315,52,332,65,without_mask,maksssksksss222,400,226,maksssksksss222.xml,maksssksksss222.png,maksssksksss222-960-v.png
315,52,332,65,without_mask,maksssksksss222,400,226,maksssksksss222.xml,maksssksksss222.png,maksssksksss222-960-hv.png
315,52,332,65,without_mask,maksssksksss222,400,226,maksssksksss222.xml,maksssksksss222.png,maksssksksss222-960-b.png
48,90,91,133,without_mask,maksssksksss352,250,400,maksssksksss352.xml,maksssksksss352.png,maksssksksss352-969-h.png
48,90,91,133,without_mask,maksssksksss352,250,400,maksssksksss352.xml,maksssksksss352.png,maksssksksss352-969-v.png
48,90,91,133,without_mask,maksssksksss352,250,400,maksssksksss352.xml,maksssksksss352.png,maksssksksss352-969-hv.png
48,90,91,133,without_mask,maksssksksss352,250,400,maksssksksss352.xml,maksssksksss352.png,maksssksksss352-969-b.png
38,143,53,161,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1002-h.png
38,143,53,161,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1002-v.png
38,143,53,161,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1002-hv.png
38,143,53,161,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1002-b.png
76,146,95,164,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1003-h.png
76,146,95,164,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1003-v.png
76,146,95,164,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1003-hv.png
76,146,95,164,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1003-b.png
217,153,241,174,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1006-h.png
217,153,241,174,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1006-v.png
217,153,241,174,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1006-hv.png
217,153,241,174,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1006-b.png
283,158,310,181,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1007-h.png
283,158,310,181,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1007-v.png
283,158,310,181,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1007-hv.png
283,158,310,181,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-1007-b.png
42,88,68,112,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1020-h.png
42,88,68,112,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1020-v.png
42,88,68,112,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1020-hv.png
42,88,68,112,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1020-b.png
46,59,69,78,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1021-h.png
46,59,69,78,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1021-v.png
46,59,69,78,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1021-hv.png
46,59,69,78,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1021-b.png
101,69,120,87,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1023-h.png
101,69,120,87,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1023-v.png
101,69,120,87,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1023-hv.png
101,69,120,87,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1023-b.png
84,34,105,56,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1025-h.png
84,34,105,56,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1025-v.png
84,34,105,56,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1025-hv.png
84,34,105,56,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1025-b.png
63,138,93,171,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1027-h.png
63,138,93,171,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1027-v.png
63,138,93,171,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1027-hv.png
63,138,93,171,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1027-b.png
91,162,121,197,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1028-h.png
91,162,121,197,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1028-v.png
91,162,121,197,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1028-hv.png
91,162,121,197,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1028-b.png
140,33,155,48,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1032-h.png
140,33,155,48,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1032-v.png
140,33,155,48,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1032-hv.png
140,33,155,48,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1032-b.png
221,22,237,40,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1036-h.png
221,22,237,40,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1036-v.png
221,22,237,40,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1036-hv.png
221,22,237,40,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1036-b.png
236,35,261,60,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1037-h.png
236,35,261,60,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1037-v.png
236,35,261,60,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1037-hv.png
236,35,261,60,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1037-b.png
185,169,202,193,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1041-h.png
185,169,202,193,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1041-v.png
185,169,202,193,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1041-hv.png
185,169,202,193,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1041-b.png
165,172,182,207,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1042-h.png
165,172,182,207,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1042-v.png
165,172,182,207,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1042-hv.png
165,172,182,207,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1042-b.png
262,18,282,38,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1048-h.png
262,18,282,38,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1048-v.png
262,18,282,38,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1048-hv.png
262,18,282,38,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1048-b.png
263,48,279,62,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1049-h.png
263,48,279,62,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1049-v.png
263,48,279,62,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1049-hv.png
263,48,279,62,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1049-b.png
282,26,300,43,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1050-h.png
282,26,300,43,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1050-v.png
282,26,300,43,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1050-hv.png
282,26,300,43,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1050-b.png
296,49,314,67,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1052-h.png
296,49,314,67,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1052-v.png
296,49,314,67,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1052-hv.png
296,49,314,67,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1052-b.png
341,154,373,182,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1054-h.png
341,154,373,182,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1054-v.png
341,154,373,182,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1054-hv.png
341,154,373,182,without_mask,maksssksksss296,400,226,maksssksksss296.xml,maksssksksss296.png,maksssksksss296-1054-b.png
82,21,108,43,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1056-h.png
82,21,108,43,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1056-v.png
82,21,108,43,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1056-hv.png
82,21,108,43,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1056-b.png
317,47,350,81,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1063-h.png
317,47,350,81,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1063-v.png
317,47,350,81,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1063-hv.png
317,47,350,81,without_mask,maksssksksss647,400,265,maksssksksss647.xml,maksssksksss647.png,maksssksksss647-1063-b.png
304,95,332,141,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1079-h.png
304,95,332,141,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1079-v.png
304,95,332,141,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1079-hv.png
304,95,332,141,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1079-b.png
198,95,223,136,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1080-h.png
198,95,223,136,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1080-v.png
198,95,223,136,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1080-hv.png
198,95,223,136,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-1080-b.png
36,15,52,33,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1089-h.png
36,15,52,33,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1089-v.png
36,15,52,33,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1089-hv.png
36,15,52,33,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1089-b.png
62,49,81,67,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1090-h.png
62,49,81,67,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1090-v.png
62,49,81,67,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1090-hv.png
62,49,81,67,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1090-b.png
57,90,78,111,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1091-h.png
57,90,78,111,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1091-v.png
57,90,78,111,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1091-hv.png
57,90,78,111,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1091-b.png
181,32,198,50,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1093-h.png
181,32,198,50,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1093-v.png
181,32,198,50,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1093-hv.png
181,32,198,50,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1093-b.png
315,71,332,85,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1099-h.png
315,71,332,85,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1099-v.png
315,71,332,85,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1099-hv.png
315,71,332,85,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1099-b.png
273,105,291,124,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1100-h.png
273,105,291,124,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1100-v.png
273,105,291,124,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1100-hv.png
273,105,291,124,without_mask,maksssksksss477,400,267,maksssksksss477.xml,maksssksksss477.png,maksssksksss477-1100-b.png
366,11,376,24,without_mask,maksssksksss539,400,267,maksssksksss539.xml,maksssksksss539.png,maksssksksss539-1137-h.png
366,11,376,24,without_mask,maksssksksss539,400,267,maksssksksss539.xml,maksssksksss539.png,maksssksksss539-1137-v.png
366,11,376,24,without_mask,maksssksksss539,400,267,maksssksksss539.xml,maksssksksss539.png,maksssksksss539-1137-hv.png
366,11,376,24,without_mask,maksssksksss539,400,267,maksssksksss539.xml,maksssksksss539.png,maksssksksss539-1137-b.png
37,50,63,78,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1143-h.png
37,50,63,78,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1143-v.png
37,50,63,78,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1143-hv.png
37,50,63,78,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1143-b.png
63,79,88,101,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1144-h.png
63,79,88,101,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1144-v.png
63,79,88,101,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1144-hv.png
63,79,88,101,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1144-b.png
64,112,91,141,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1145-h.png
64,112,91,141,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1145-v.png
64,112,91,141,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1145-hv.png
64,112,91,141,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1145-b.png
88,44,112,72,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1146-h.png
88,44,112,72,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1146-v.png
88,44,112,72,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1146-hv.png
88,44,112,72,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1146-b.png
120,99,150,133,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1147-h.png
120,99,150,133,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1147-v.png
120,99,150,133,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1147-hv.png
120,99,150,133,without_mask,maksssksksss209,400,210,maksssksksss209.xml,maksssksksss209.png,maksssksksss209-1147-b.png
